index,rname,fcategory,Rating,lat,long,address,city,phone
466,Naan & Kabob,Afghan,4,43.66905,-79.38606,691 Yonge Street,Toronto,+1 416-972-6623
113,The Stockyards,American (Traditional),4,43.68136,-79.42619,699 St. Clair Avenue W,Toronto,+1 416-658-9666
175,Museum Tavern,American (Traditional),3.5,43.6686897,-79.3958511,208 Bloor Street W,Toronto,+1 416-920-0110
332,Union Social Eatery,American (Traditional),4,43.68779452,-79.39506926,21 Saint Clair Avenue W,Toronto,+1 416-901-3456
373,MARBL Restaurant,American (Traditional),3.5,43.64499,-79.39598,455 King Street West,Toronto,+1 416-979-2660
499,Victor,American (Traditional),4,43.645905,-79.391166,30 Mercer St,Toronto,+1 416-883-3431
702,Aviator Danforth,American (Traditional),3.5,43.683,-79.32628,1458 Danforth Ave,Toronto,+1 647-348-2680
757,Tea N Bannock,American (Traditional),4.5,43.671182,-79.3273557,1294 Gerrard Street E,Toronto,+1 416-220-2915
799,LOCAL Leaside,American (Traditional),3.5,43.70997836,-79.3635409,180 Laird Drive,Toronto,+1 416-696-6226
814,Death & Taxes Free House,American (Traditional),4,43.64311,-79.42496,1154 Queen Street W,Toronto,+1 416-516-2550
851,Bolands Kitchen,American (Traditional),4,43.7034912,-79.3878174,575 Mt Pleasant Road,Toronto,+1 416-482-2424
921,Best Bite Bar & Grill,American (Traditional),4.5,43.65322,-79.60078,5503 Eglinton Avenue W,Toronto,+1 416-620-6600
960,Maple Leaf Tavern,American (Traditional),4,43.66814,-79.33976,955 Gerrard Street E,Toronto,+1 416-465-0955
957,Tilt Arcade Bar,Arcades,4.5,43.65182,-79.40925,824 Dundas Street West,Toronto,+1 416-551-8458
272,AMA,Argentine,4,43.64504169,-79.41612091,930 Queen Street W,Toronto,+1 647-349-9262
361,VOS Restaurante Argentino,Argentine,4.5,43.65411313,-79.42308996,847 College Street,Toronto,+1 416-530-0847
419,Bacan,Argentine,4,43.6501,-79.4502,369 Roncesvalles Avenue,Toronto,+1 416-535-2222
837,Tanto,Argentine,3.5,43.64581,-79.4197499,74 Ossington Avenue,Toronto,+1 416-546-3022
108,Lee Restaurant,Asian Fusion,4,43.644144,-79.400384,601 King Street W,Toronto,+1 416-504-7867
115,Three Monks and a Duck,Asian Fusion,4.5,43.64605,-79.40897,811 Queen Street W,Toronto,+1 416-901-9588
136,Her Chef,Asian Fusion,4.5,43.66457,-79.41292,599 Bloor Street W,Toronto,+1 647-830-7719
448,Mai Bistro,Asian Fusion,4.5,43.6490027,-79.5285543,4906 Dundas W,Toronto,+1 647-343-3130
501,After Dark,Asian Fusion,5,43.64569,-79.4104,859 Queen St W,Toronto,+1 416-317-8829
673,Garleek Kitchen,Asian Fusion,4.5,43.64046,-79.43811,1500 Queen Street W,Toronto,+1 416-551-0929
722,Kid Lee,Asian Fusion,4,43.6487085,-79.38148875,100 King Street W,Toronto,+1 647-352-0092
787,Foxley Bistro and Bar,Asian Fusion,4,43.64865,-79.42024,207 Ossington Avenue,Toronto,+1 416-534-8520
843,R&D Restaurant,Asian Fusion,3.5,43.65152,-79.39703,241 Spadina Avenue,Toronto,+1 416-586-1241
883,Tuk Tuk Canteen,Asian Fusion,3.5,43.65084,-79.45053,397 Roncesvalles Avenue,Toronto,
398,The Bagel House,Bagels,4,43.70483,-79.37496,1548 Bayview Avenue,Toronto,+1 416-481-8184
203,School Restaurant,Bakeries,3.5,43.63784,-79.42435,70 Fraser Avenue,Toronto,+1 416-588-0005
399,School Restaurant,Bakeries,3.5,43.63784,-79.42435,70 Fraser Avenue,Toronto,+1 416-588-0005
651,Sud Forno,Bakeries,3.5,43.65091634,-79.37878523,132 Yonge Street,Toronto,+1 416-955-1100
916,Kabul Restaurant and Bakery,Bakeries,4,43.71456151,-79.33361652,747 Don Mills Road,Toronto,+1 416-423-4445
94,Gyubee Japanese Grill - Bloor,Barbeque,4,43.66716,-79.40047,335 Bloor Street W,Toronto,+1 416-551-9767
138,Smoque N' Bones,Barbeque,4,43.64570278,-79.41074328,869 Queen Street W,Toronto,+1 647-341-5730
199,Barque Smokehouse,Barbeque,4,43.6480097,-79.4496592,299 Roncesvalles Avenue,Toronto,+1 416-532-7700
228,STACK,Barbeque,4,43.72929,-79.4029599,3265 Yonge Street,Toronto,+1 647-346-1416
236,Pig Out BBQ,Barbeque,4,43.66317,-79.40253,650 Spadina Avenue,Toronto,+1 416-792-6120
279,Cherry Street Bar-B-Que,Barbeque,4,43.6456,-79.35229,275 Cherry Street,Toronto,+1 416-461-5111
283,The Carbon Bar,Barbeque,4,43.65318726,-79.37478688,99 Queen Street E,Toronto,+1 416-947-7000
329,Long Time No See,Barbeque,3,43.65318,-79.39524,421 Dundas Street W,Toronto,+1 416-848-8887
401,Hogtown Smoke,Barbeque,4,43.64909,-79.37433,55 Colborne Street,Toronto,+1 416-691-9009
467,Beach Hill Smokehouse,Barbeque,4.5,43.68409,-79.3005,172 Main Street S,Toronto,+1 416-792-8275
684,Mapo Korean BBQ,Barbeque,3.5,43.66411,-79.41674,680 Bloor St W¥_ëToronto,Toronto,+1 647-797-7708
871,Greenwood Smokehouse BBQ,Barbeque,3.5,43.6789975,-79.3442872,673 Danforth Avenue,Toronto,+1 416-469-2270
909,Hogtown Smoke In the Beach,Barbeque,3.5,43.66954912,-79.30214312,1959 Queen Street E,Toronto,+1 416-691-9009
37,Hi-Lo Bar,Bars,4,43.65910345,-79.34796574,753 Queen Street E,Toronto,+1 416-551-3459
44,Alo Restaurant,Bars,4.5,43.64851,-79.39584,163 Spadina Avenue,Toronto,+1 416-260-2222
57,The Lockhart,Bars,4,43.64947,-79.43111,1479 Dundas Street W,Toronto,+1 647-748-4434
69,Hawaii Bar,Bars,4.5,43.66708,-79.43136,989 Dovercourt Road,Toronto,+1 416-588-9888
77,Lobster Burger Bar,Bars,4,43.647443,-79.386768,214 King Street W,Toronto,+1 416-598-2929
180,Bar Buca,Bars,4,43.64392294,-79.39984039,75 Portland Street,Toronto,+1 416-599-2822
258,Lake Inez,Bars,4.5,43.67234,-79.32064,1471 Gerrard Street E,Toronto,+1 416-792-1590
376,Burdock,Bars,3.5,43.6594874,-79.43786679,1184 Bloor Street W,Toronto,+1 416-546-4033
403,The Local,Bars,3.5,43.6510309,-79.4510022,396 Roncesvalles Avenue,Toronto,+1 416-535-6225
470,Alobar Yorkville,Bars,4,43.6699967,-79.3936512,57A-162 Cumberland Street,Toronto,+1 416-961-1222
505,Home Smith Bar,Bars,4,43.65090891,-79.49289348,21 Old Mill Road,Toronto,+1 416-236-2641
506,Soco Kitchen and Bar,Bars,3.5,43.64265313,-79.38384653,75 Lower Simcoe Street,Toronto,+1 416-637-5465
521,The Dime,Bars,3.5,43.64765266,-79.40263912,538 Queen Street West,Toronto,+1 647-348-9080
557,Prohibition Gastrohouse - Queen,Bars,3.5,43.65894,-79.35041,696 Queen Street E,Toronto,+1 416-406-2669
578,Grand Electric,Bars,3.5,43.6416745,-79.4316079,1330 Queen Street W,Toronto,+1 416-627-3459
580,Communist's Daughter,Bars,4,43.6492099,-79.42103,1149 Dundas Street W,Toronto,+1 647-435-0103
599,Skyline Restaurant,Bars,4,43.64109,-79.4351499,1426 Queen Street W,Toronto,+1 416-536-3682
609,The Wren,Bars,4,43.6824096,-79.3280496,1382 Danforth Avenue,Toronto,+1 647-748-1382
636,El Pocho Antojitos Bar,Bars,4.5,43.66963,-79.41338,2 Follis Avenue,Toronto,+1 647-794-7115
641,Bangarang,Bars,4.5,43.65589,-79.41199,552 College Street,Toronto,
649,Goods & Provisions,Bars,4,43.66233,-79.33515,1124 Queen Street E,Toronto,+1 647-340-1738
834,Big Trouble,Bars,4,43.65336671,-79.39648915,460 Dundas Street W,Toronto,+1 647-347-8880
870,Seoul Shakers,Bars,4.5,43.65852742,-79.44103628,1241 Bloor St W,Toronto,
889,Anejo,Bars,3,43.64474,-79.39992,600 King Street W,Toronto,+1 416-862-8226
936,Three Speed,Bars,4,43.65917,-79.43795,1163 Bloor St W,Toronto,+1 647-430-3834
952,Bodega Henriette,Bars,4.5,43.6780199,-79.31471,1801 Gerrard Street E,Toronto,+1 416-546-6261
953,Storm Crow Manor,Bars,4,43.66674896,-79.38164312,580 Church Street,Toronto,+1 416-367-2769
587,The Bartending School of Ontario,Bartending Schools,5,43.68589,-79.31078,2159 Danforth Avenue,Toronto,+1 416-466-7847
864,Bang Sue Bar,Beer Bar,4,43.64634,-79.39359,11 Charlotte Street,Toronto,
